fi	sv	en
kansanedustajan perhe-eläke		familjepension efter riksdagsledamot
kansanedustajan perhe-eläke	Member of Parliament’s survivor pension	
kansanedustajan riippumattomuus		riksdagsledamots oberoende
kansanedustajan riippumattomuus	independence of a Member of Parliament	
kansanedustajan sidonnaisuudet		riksdagsledamöters bindningar
kansanedustajan sidonnaisuudet	Members' private interests	
kansanedustajan sidonnaisuudet	private interests of a Member of Parliament	
kansanedustajan tietojensaantioikeus		riksdagsledamots rätt att få information
kansanedustajan tietojensaantioikeus	Member of Parliament's right to information	
kansanedustajan valtakirja		fullmakt för riksdagsledamot
kansanedustajan valtakirja		ledamotsfullmakt
kansanedustajan valtakirja		riksdagsledamots fullmakt
kansanedustajan valtakirja		riksdagsledamotsfullmakt
kansanedustajan valtakirja	Member’s credentials	
kansanedustajan valtakirja	credentials of a Representative	
kansanedustajan valtakirjan tarkastaminen		granskning av riksdagsledamots fullmakt
kansanedustajan valtakirjan tarkastaminen	inspection of a Member's credentials	
kansanedustajan varaedustaja		ersättare
kansanedustajan varaedustaja		ersättare för riksdagsledamot
kansanedustajan varaedustaja		suppleant
kansanedustajan varaedustaja	alternate Member of Parliament	
kansanedustajan varaedustaja	deputy Member of Parliament	
kansanedustajan varaedustaja	replacement Member of Parliament	
kansanedustajan varamies		ersättare
kansanedustajan varamies		ersättare för riksdagsledamot
kansanedustajan varamies		suppleant
kansanedustajan varamies	alternate Member of Parliament	
kansanedustajan varamies	deputy Member of Parliament	
kansanedustajan varamies	replacement Member of Parliament	
kansanedustajien lukusali		ledamöternas tidningsläsesal
kansanedustajien lukusali		läsesalen
kansanedustajien lukusali		riksdagsledamöternas läsesal
kansanedustajien lukusali		riksdagsledamöternas tidningsläsesal
kansanedustajien lukusali	newspaper room	
kansanedustajien paikkajako		fördelning av riksdagsledamotsplatserna
kansanedustajien paikkajako	distribution of seats in Parliament	
kansanedustajien sanomalehtisali		ledamöternas tidningsläsesal
kansanedustajien sanomalehtisali		läsesalen
kansanedustajien sanomalehtisali		riksdagsledamöternas läsesal
kansanedustajien sanomalehtisali		riksdagsledamöternas tidningsläsesal
kansanedustajien sanomalehtisali	newspaper room	
kansanedustuslaitos		folkrepresentation
kansanedustuslaitos		parlament
kansanedustuslaitos		riksdag
kansanedustuslaitos	legislature	
kansanedustuslaitos	parliament	
kansanvalta		demokrati
kansanvalta		folkmakt
kansanvalta		folkstyre
kansanvalta		folkvälde
kansanvalta	democracy	
kansliatoimikunta		kanslikommissionen
kansliatoimikunta	Office Commission	
kd		Kristdemokratiska riksdagsgruppen
kd		kd
kd	Christian Democratic Parliamentary Group	
kehitysyhteistyökertomus		berättelse om utvecklingssamarbetet
kehitysyhteistyökertomus	Report on Finnish Development Co-operation	
kelpoisuus edustajantoimeen		behörighet att vara riksdagsledamot
kelpoisuus edustajantoimeen		behörighet för ledamotsuppdraget
kelpoisuus edustajantoimeen		behörighet för uppdraget som riksdagsledamot
kelpoisuus edustajantoimeen	eligibility for the office of Member of Parliament	
kesk		Centerns riksdagsgrupp
kesk		cent
kesk	Centre Party Parliamentary Group	
keskeyttää asian käsittely		avbryta behandlingen av ett ärende
keskeyttää asian käsittely	interrupt the consideration of a matter	
keskeyttää valtiopäivät		avbryta riksmöte
keskeyttää valtiopäivät	adjourn the parliamentary session	
keskeyttää valtiopäivät	put Parliament into recess	
keskuskanslia		centralkansliet
keskuskanslia	Central Office	
keskuskanslian sihteeristö		centralkansliets sekretariat
keskuskanslian sihteeristö	Secretariat of the Central Office	
keskustelualoite		DI
keskustelualoite		debattinitiativ
keskustelualoite	motion for debate	
kevätistuntokausi		vårsession
kevätistuntokausi	spring session	
kevätistuntokausi	spring sittings	
kevätistuntokausi	spring term	
kielilainsäädännön soveltamista koskeva kertomus		berättelsen om språkförhållandena
kielilainsäädännön soveltamista koskeva kertomus		berättelsen om tillämpningen av språklagstiftningen
kielilainsäädännön soveltamista koskeva kertomus		statsrådets berättelse om tillämpningen av språklagstiftningen
kielilainsäädännön soveltamista koskeva kertomus	Report on the Application of Language Legislation	
kielioloja koskeva kertomus		berättelsen om språkförhållandena
kielioloja koskeva kertomus		berättelsen om tillämpningen av språklagstiftningen
kielioloja koskeva kertomus		statsrådets berättelse om tillämpningen av språklagstiftningen
kielioloja koskeva kertomus	Report on the Application of Language Legislation	
kiinteistötoimisto		fastighetsbyrån
kiinteistötoimisto	Real Estate Office	
kiireelliseksi julistaminen		brådskandeförklaring
kiireelliseksi julistaminen		förklara brådskande
kiireelliseksi julistaminen	declaration of urgency	
kiireelliseksi julistaminen	declaring urgent	
kirjallinen kysymys		SS
kirjallinen kysymys		skriftligt spörsmål
kirjallinen kysymys	written question	
kohta		momentets punkt xxx
kohta		punkt
kohta		punkt i momentet
kohta	paragraph	
kok		Samlingspartiets riksdagsgrupp
kok		saml
kok	National Coalition Party Parliamentary Group	
kokoontua valtiopäiville		sammanträda till riksmöte
kokoontua valtiopäiville	assemble	
kokoontua valtiopäiville	convene	
koneäänestys		maskinell omröstning
koneäänestys		omröstning med omröstningsanläggning
koneäänestys		omröstning med omröstningsapparat
koneäänestys		votering med voteringsanläggning
koneäänestys		votering med voteringsapparat
koneäänestys	electronic vote	
koneäänestys	vote using electronic vote teller	
konventti		konvent
konventti	Convention	
koroke		podiet
koroke		talmanspodiet
koroke	Speaker’s Dais	
kotiäänestys		hemmaröstning
kotiäänestys	at-home voting	
kulukorvaus		kostnadsersättning
kulukorvaus	fixed reimbursement of expenses	
kunnan keskusvaalilautakunta		kommunal centralvalnämnd
kunnan keskusvaalilautakunta		kommunens centralvalnämnd
kunnan keskusvaalilautakunta	central municipal electoral committee	
kunta- ja terveysjaosto		KhD
kunta- ja terveysjaosto		kommun- och hälsovårdsdelegationen
kunta- ja terveysjaosto	Municipal and Health Affairs Sub-committee	
kutsu täysistuntoon		kallelse till plenum
kutsu täysistuntoon	call to a plenary session	
kutsua täysistunto koolle		kalla till plenum
kutsua täysistunto koolle		sammankalla plenum
kutsua täysistunto koolle	convene a plenary session	
kyselytunti		frågestund
kyselytunti		muntlig frågestund
kyselytunti		muntlig frågetimme
kyselytunti	question hour	
kyselytunti	question time	
käydä keskustelu nopeatahtisena		föra en snabbdebatt
käydä keskustelu nopeatahtisena	conduct a debate with timed speaking turns	
käydä keskustelu nopeatahtisena	debate matters with timed speaking turns	
käyttää puheenvuoro		ha ordet
käyttää puheenvuoro		hålla ett anförande
käyttää puheenvuoro		komma med ett inlägg
käyttää puheenvuoro		tala
käyttää puheenvuoro	take one’s turn to speak	
käyttää puheenvuoro	take the floor	
lain johtolause		ingress
lain johtolause		lagens ingress
lain johtolause	enacting clause	
lain julkaiseminen		publicering av en lag
lain julkaiseminen	publication of an act	
lain nimike		lagens rubrik
lain nimike		lagrubrik
lain nimike	long title	
lain vahvistamatta jättäminen		inte stadfästa en lag
lain vahvistamatta jättäminen	declining to approve a bill	
lain vahvistaminen		stadfästande av lag
lain vahvistaminen		stadfästelse
lain vahvistaminen	approval of a bill	
lain vahvistaminen	bill approval	
lain voimaantulo		en lags ikraftträdande
lain voimaantulo		ikraftträdande
lain voimaantulo		ikraftträdande av en lag
lain voimaantulo	entry into force of an act	
lainsäädäntöjohtaja		lagstiftningsdirektören
lainsäädäntöjohtaja		riksdagens lagstiftningsdirektör
lainsäädäntöjohtaja	Director of Legislation	
lainsäädäntöjohtaja	Director of Legislation of Parliament	
lainsäädäntövalta		lagstiftande makt
lainsäädäntövalta		lagstiftningsmakt
lainsäädäntövalta	legislative power	
lainsäätämisjärjestys		lagstiftningsordning
lainsäätämisjärjestys	enactment procedure	
lainvalmistelu		lagberedning
lainvalmistelu	bill drafting	
lainvalmistelu	drafting of a bill	
laki		lag
laki	act	
lakialoite		LM
lakialoite		lagmotion
lakialoite	Member of Parliament’s legislative motion	
lakialoite	legislative motion	
lakialoite	legislative motion submitted by a Member of Parliament	
lakiehdotuksen hylkääminen		förkastande av ett lagförslag
lakiehdotuksen hylkääminen	rejection of a bill	
lakiehdotuksen hyväksyminen		godkännande av ett lagförslag
lakiehdotuksen hyväksyminen	passing of a bill	
lakiehdotus		lagförslag
lakiehdotus	bill	
lakiesitys		proposition
lakiesitys		regeringens proposition med förslag till lag
lakiesitys	legislative proposal	
lakivaliokunta		LaU
lakivaliokunta		lagutskottet
lakivaliokunta	Legal Affairs Committee	
lausuma		riksdagens uttalande
lausuma		uttalande
lausuma		uttalande av riksdagen
lausuma	resolution	
lausuma	resolution approved by Parliament	
lausumaehdotus		förslag till uttalande
lausumaehdotus	proposed resolution	
lausunto		utlåtande
lausunto		utlåtande från utskottet
lausunto		utlåtande från xxx utskottet
lausunto		utskottets utlåtande
lausunto		utskottsutlåtande
lausunto	committee statement	
lausunto	statement of a committee	
lausuntovaliokunta		utlåtandeutskott
lausuntovaliokunta	statement committee	
lehdistöparvi		pressläktaren
lehdistöparvi	press gallery	
lepäämään hyväksytty lakiehdotus		VLF
lepäämään hyväksytty lakiehdotus		lagförslag som godkänts att vila
lepäämään hyväksytty lakiehdotus		lagförslag som lämnats vilande
lepäämään hyväksytty lakiehdotus		lagförslag som vilar
lepäämään hyväksytty lakiehdotus		vilande lagförslag
lepäämään hyväksytty lakiehdotus	bill left in abeyance	
lepäämään jätetty lakiehdotus		VLF
lepäämään jätetty lakiehdotus		lagförslag som godkänts att vila
lepäämään jätetty lakiehdotus		lagförslag som lämnats vilande
lepäämään jätetty lakiehdotus		lagförslag som vilar
lepäämään jätetty lakiehdotus		vilande lagförslag
lepäämään jätetty lakiehdotus	bill left in abeyance	
liik		Liike Nyt -rörelsens riksdagsgrupp
liik		liik
liik	Liike Nyt Movement's Parliamentary Group	
liikenne- ja viestintävaliokunta		KoU
liikenne- ja viestintävaliokunta		kommunikationsutskottet
liikenne- ja viestintävaliokunta		trafikutskottet
liikenne- ja viestintävaliokunta	Transport and Communications Committee	
liikennejaosto		TrD
liikennejaosto		trafikdelegationen
liikennejaosto	Communications Sub-committee	
lippuäänestys		omröstning med sedlar
lippuäänestys	ballot vote	
lippuäänestys	vote by ballot	
lisäbudjetti		regeringens proposition om en tilläggsbudget
lisäbudjetti		tilläggsbudget
lisäbudjetti		tilläggsbudgetproposition
lisäbudjetti	supplementary budget	
lisäbudjetti	supplementary budget proposal	
lisäbudjettialoite		TBM
lisäbudjettialoite		tilläggsbudgetmotion
lisäbudjettialoite	supplementary budgetary motion	
lisäkysymys		följdfråga
lisäkysymys	follow-up question	
lisäkysymys	supplementary question	
lisälista		kompletterande lista
lisälista		kompletteringslista
lisälista	supplementary  agenda	
lisälista	supplementary plenary session agenda	
lisämenoarvio		tilläggsbudget
lisämenoarvio	supplementary budget	
lisäpalkkio		tilläggsarvode
lisäpalkkio	additional remuneration	
lisäpalkkio	salary supplement	
lisätalousarvio		tilläggsbudget
lisätalousarvio	supplementary budget	
lisätalousarvioaloite		TBM
lisätalousarvioaloite		tilläggsbudgetmotion
lisätalousarvioaloite	supplementary budgetary motion	
lisätalousarvioesitys		regeringens proposition om en tilläggsbudget
lisätalousarvioesitys		tilläggsbudgetproposition
lisätalousarvioesitys	supplementary budget proposal	
lisätä määrärahaa		öka anslag
lisätä määrärahaa	increase an appropriation	
loisto		loisto
loisto		undertecknat exemplar av handling
loisto	signature copy	
luku		kapitel
luku	chapter	
luku	class	
lukusali		ledamöternas tidningsläsesal
lukusali		läsesalen
lukusali		riksdagsledamöternas läsesal
lukusali		riksdagsledamöternas tidningsläsesal
lukusali	newspaper room	
luottamuslauseäänestys		förtroendeomröstning
luottamuslauseäänestys		misstroendevotum
luottamuslauseäänestys	vote of confidence	
lähetekeskustelu		remissdebatt
lähetekeskustelu	parliamentary debate	
lähetekeskustelu	preliminary debate	
lähetekeskustelu	referral debate	
lähettää valmistelevasti käsiteltäväksi		remittera för behandling
lähettää valmistelevasti käsiteltäväksi		remittera för beredning
lähettää valmistelevasti käsiteltäväksi	refer for preparatory consideration	
lähetystöjen vastaanottotila		deputationsrummet
lähetystöjen vastaanottotila		mottagningsrummet för deputationer
lähetystöjen vastaanottotila	room for receiving delegations	
lähiajan istuntosuunnitelma		korttidsplan
lähiajan istuntosuunnitelma		plenarplan för den närmaste framtiden
lähiajan istuntosuunnitelma	weekly schedule of plenary sessions	
läsnäolo täysistunnossa		närvarande i plenum
läsnäolo täysistunnossa		närvaro i plenum
läsnäolo täysistunnossa		på plats i plenum
läsnäolo täysistunnossa	presence at a plenary session	
läsnäolopainike		närvaroknapp
läsnäolopainike	'present' button	
läsnäolotilasto		närvarostatistik
läsnäolotilasto	attendance record	
maa- ja metsätalousvaliokunta		JsU
maa- ja metsätalousvaliokunta		jord- och skogsbruksutskottet
maa- ja metsätalousvaliokunta	Agriculture and Forestry Committee	
maakuntalaki		landskapslag
maakuntalaki	provincial act of the Åland Islands	
maatalousjaosto		JbD
maatalousjaosto		jordbruksdelegationen
maatalousjaosto	Agriculture Sub-committee	
matkustuslupa		resetillstånd
matkustuslupa		tillstånd att resa
matkustuslupa	travel authorisation	
matkustusoikeus		reserätt
matkustusoikeus		rätt att resa
matkustusoikeus	right to free travel	
menopuoli		anslag
menopuoli		anslag för de årliga utgifterna
menopuoli		utgiftssidan
menopuoli	appropriations	
menopuoli	budget appropriations	
menopuoli	budgetary allocations	
mietinnön pöydällepano		bordläggning av betänkande
mietinnön pöydällepano		bordläggningsärende
mietinnön pöydällepano	deferral of a committee report	
mietintö		betänkande
mietintö		betänkande från xxx utskottet
mietintö		utskottets betänkande
mietintö		utskottsbetänkande
mietintö		xxx utskottets betänkande
mietintö	committee report	
mietintö	report of the committee	
mietintöluonnos		betänkandeutkast
mietintöluonnos		utkast till betänkande
mietintöluonnos		utkast till betänkande från xxx utskottet
mietintöluonnos		utkast till utskottets betänkande
mietintöluonnos	draft committee report	
mietintöluonnos	draft report	
mietintövaliokunta		betänkandeutskott
mietintövaliokunta	reporting committee	
ministeriaitio		ministerbåset
ministeriaitio		ministerlogen
ministeriaitio		regeringsbåset
ministeriaitio		regeringslogen
ministeriaitio	Government Box	
ministerin sidonnaisuudet		ministers bindningar
ministerin sidonnaisuudet	minister's private interests	
ministeriryhmä		ministergrupp
ministeriryhmä		regeringsgrupp
ministeriryhmä	group of ministers	
ministeriryhmä	ministerial group	
ministeristö		ministär
ministeristö		regering
ministeristö	Cabinet	
ministeristö	Government	
ministerisyyte		åtal mot minister
ministerisyyte	charge against a member of the Government	
ministerisyyte	charge against a minister	
ministerivastuuasia		ministeransvarighetsärende
ministerivastuuasia		ärende som gäller ministeransvarighet
ministerivastuuasia	alleged malfeasance by a minister	
ministeriön asetus		förordning av xxx ministeriet
ministeriön asetus		ministerieförordning
ministeriön asetus		ministeriets förordning
ministeriön asetus		xxx ministeriets förordning
ministeriön asetus	Ministry of Xxx decree on...	
ministeriön asetus	decree of the Ministry of...	
ministeriön asetus	ministerial decree	
ministeriön selvitys valiokunnalle		ministeriets utredning till ett utskott
ministeriön selvitys valiokunnalle		utredning till ett utskottet
ministeriön selvitys valiokunnalle	ministry report	
ministeriön vastine		ministeriets kommentarer
ministeriön vastine		ministeriets svar
ministeriön vastine	ministry’s reply	
ministeriövastaavuusperiaate		ministeriemotsvarighetsprincip
ministeriövastaavuusperiaate		princip om ministeriemotsvarighet
ministeriövastaavuusperiaate	corresponding ministry principle	
momentin kohta		momentets punkt xxx
momentin kohta		punkt
momentin kohta		punkt i momentet
momentin kohta	paragraph	
momentti		mom.
momentti		moment
momentti		stycke
momentti	item	
momentti	sub-section	
mustakulma		mustakulma
mustakulma	unofficial advance copy	
muu asia		Ö
muu asia		övrigt ärende
muu asia	other matter	
muutosehdotus		ändringsförslag
muutosehdotus	amendment proposal	
muutosehdotus	proposed amendment	
myöntää puheenvuoro		få ordet
myöntää puheenvuoro		ge ordet
myöntää puheenvuoro	give the floor	
myöntää puheenvuoro	grant a speaking turn	
myöntää vapautus edustajantoimesta		bevilja befrielse från ledamotsuppdraget
myöntää vapautus edustajantoimesta		bevilja befrielse från uppdraget som riksdagsledamot
myöntää vapautus edustajantoimesta		medge befrielse från ledamotsuppdraget
myöntää vapautus edustajantoimesta		medge befrielse från uppdraget som riksdagsledamot
myöntää vapautus edustajantoimesta	grant a release from office	
myöntää vapautus edustajantoimesta	grant a release from the office of Member of Parliament	
määräenemmistö		kvalificerad majoritet
määräenemmistö	qualified majority	
määräraha vuotuisiin menoihin		anslag
määräraha vuotuisiin menoihin		anslag för de årliga utgifterna
määräraha vuotuisiin menoihin		utgiftssidan
määräraha vuotuisiin menoihin	appropriations	
määräraha vuotuisiin menoihin	budget appropriations	
määräraha vuotuisiin menoihin	budgetary allocations	
määrärahalisäys		anslagsökning
määrärahalisäys		ökat anslag
määrärahalisäys	appropriation increase	
määrärahat		anslag
määrärahat		anslag för de årliga utgifterna
määrärahat		utgiftssidan
määrärahat	appropriations	
määrärahat	budget appropriations	
määrärahat	budgetary allocations	
määrärahavähennys		anslagsminskning
määrärahavähennys		minskat anslag
määrärahavähennys	appropriation reduction	
määrätä ennenaikaiset eduskuntavaalit		bestämma om förtida riksdagsval
määrätä ennenaikaiset eduskuntavaalit		upplösa riksdagen
määrätä ennenaikaiset eduskuntavaalit	order extraordinary parliamentary elections	
nauttia eduskunnan luottamusta		ha riksdagens förtroende
nauttia eduskunnan luottamusta		åtnjuta riksdagens förtroende
nauttia eduskunnan luottamusta	enjoy the confidence of Parliament	
nauttia eduskunnan luottamusta	have the confidence of Parliament	
neuvoa-antava kansanäänestys		rådgivande folkomröstning
neuvoa-antava kansanäänestys	advisory referendum	
neuvoa-antava kansanäänestys	consultative referendum	
nimenhuuto		namnupprop
nimenhuuto	roll-call	
nopeatahtinen keskustelu		snabbdebatt
nopeatahtinen keskustelu	timed debate	
notaari		notarie
notaari		notarie i plenum
notaari		riksdagens notarie
notaari	plenary session clerk	
oikeus asettaa ehdokkaita		rätt att ställa upp kandidater
oikeus asettaa ehdokkaita	right to nominate candidates	
oikeusasiamiehen oikeudellinen vastuu		justitieombudsmannens juridiska ansvar
oikeusasiamiehen oikeudellinen vastuu	legal responsibility of the Parliamentary Ombudsman	
oikeusasiamies		JO
oikeusasiamies		justitieombudsmannen
oikeusasiamies		riksdagens justitieombudsman
oikeusasiamies	Ombudsman	
oikeusasiamies	Parliamentary Ombudsman	
oikeuskanslerin oikeudellinen vastuu		justitiekanslerns juridiska ansvar
oikeuskanslerin oikeudellinen vastuu	legal responsibility of the Chancellor of Justice	
oppositio		oppositionen
oppositio	opposition	
osasto		avdelning
osasto	main title of revenues	
palautekeskustelu		responsdebatt
palautekeskustelu	follow-up debate	
palkkiotoimikunta		arvodeskommissionen
palkkiotoimikunta		riksdagens arvodeskommission
palkkiotoimikunta	Parliamentary Remuneration Committee	
panna pöydälle		bordlägga
panna pöydälle	defer	
parlamentaarinen hallitustapa		parlamentariskt statsskick
parlamentaarinen hallitustapa		parlamentariskt styre
parlamentaarinen hallitustapa		parlamentariskt styrelseskick
parlamentaarinen hallitustapa		parlamentarism
parlamentaarinen hallitustapa	parliamentarianism	
parlamentaarinen hallitustapa	parliamentary constitution	
parlamentaarinen hallitustapa	parliamentary government	
parlamentaarinen hallitustapa	parliamentary system	
parlamentaarinen immuniteetti		immunitetsskydd
parlamentaarinen immuniteetti		parlamentarisk immunitet
parlamentaarinen immuniteetti		riksdagsledamots immunitet
parlamentaarinen immuniteetti	parliamentary immunity	
parlamentaarinen koskemattomuus		immunitetsskydd
parlamentaarinen koskemattomuus		parlamentarisk immunitet
parlamentaarinen koskemattomuus		riksdagsledamots immunitet
parlamentaarinen koskemattomuus	parliamentary immunity	
parlamentarismi		parlamentariskt statsskick
parlamentarismi		parlamentariskt styre
parlamentarismi		parlamentariskt styrelseskick
parlamentarismi		parlamentarism
parlamentarismi	parliamentarianism	
parlamentarismi	parliamentary constitution	
parlamentarismi	parliamentary government	
parlamentarismi	parliamentary system	
parlamentti		folkrepresentation
parlamentti		parlament
parlamentti		riksdag
parlamentti	legislature	
parlamentti	parliament	
parlamenttivaltuuskunta		parlamentsdelegation
parlamenttivaltuuskunta	parliamentary delegation	
paternosterhissi		paternosterhissen
paternosterhissi	paternoster lift	
perusteltu päiväjärjestykseen siirtyminen		motiverad övergång till dagordningen
perusteltu päiväjärjestykseen siirtyminen	justified proceeding to the agenda	
perustuslain säätämisjärjestys		grundlagsordning
perustuslain säätämisjärjestys		kvalificerad lagstiftningsordning
perustuslain säätämisjärjestys	procedure for constitutional enactment	
perustuslainmukaisuuden valvonta		kontroll av grundlagsenligheten
perustuslainmukaisuuden valvonta	determination of constitutionality	
perustuslainmukaisuuden valvonta	supervision of constitutionality	
perustuslainsäätämisjärjestys		grundlagsordning
perustuslainsäätämisjärjestys		kvalificerad lagstiftningsordning
perustuslainsäätämisjärjestys	procedure for constitutional enactment	
perustuslaki		grundlag
perustuslaki		konstitution
perustuslaki	Constitution	
perustuslaki	Constitution Act	
perustuslakivaliokunta		GrU
perustuslakivaliokunta		grundlagsutskottet
perustuslakivaliokunta	Constitutional Law Committee	
peruutuskirjelmä		skrivelse om återtagande
peruutuskirjelmä	communication of withdrawal	
peruutuskirjelmä	notification of withdrawal	
peruutuskirjelmä	withdrawal	
piiskuri		inpiskare
piiskuri	group whip	
pohjaäänestys		omröstning om behandlingsunderlag
pohjaäänestys	initial vote	
poikkeuslaki		undantagslag
poikkeuslaki	exceptive act	
poissaolo täysistunnosta		frånvaro från plenum
poissaolo täysistunnosta	absence from a plenary session	
poissaoloilmoitus		frånvaroanmälan
poissaoloilmoitus	notice of absence	
poissaolotilasto		frånvarostatistik
poissaolotilasto	record of absences	
poistaa määräraha		slopa anslag
poistaa määräraha		slopat anslag
poistaa määräraha		stryka anslag
poistaa määräraha	delete an appropriation	
ponsi		kläm
ponsi	resolution	
ps		Sannfinländarnas riksdagsgrupp
ps		saf
ps	Finns Party Parliamentary Group	
puheaikasuositus		rekommenderad taletid
puheaikasuositus		rekommenderad taltid
puheaikasuositus	recommended speaking time	
puheenvuoro		anförande
puheenvuoro		inlägg
puheenvuoro		tal
puheenvuoro		yttrande
puheenvuoro	speaking turn	
puheenvuoro	speech	
puheenvuoro	‘the floor’	
puheenvuoropyyntö		begäran om ordet
puheenvuoropyyntö	request for a speaking turn	
puheenvuoropyyntö	request for the floor	
puhemiehen edustustila		talmannens representationslokal
puhemiehen edustustila	Speaker’s Reception Rooms	
puhemiehen erityisavustaja		talmannens specialmedarbetare
puhemiehen erityisavustaja	Special Assistant to the Speaker	
puhemiehen huomautus		anmärkning från talmannen
puhemiehen huomautus		erinring från talmannen
puhemiehen huomautus		talmannens anmärkning
puhemiehen huomautus	Speaker’s reproach	
puhemiehen juhlallinen vakuutus		talmannens högtidliga försäkran
puhemiehen juhlallinen vakuutus	solemn affirmation of the Speaker	
puhemiehen koroke		podiet
puhemiehen koroke		talmanspodiet
puhemiehen koroke	Speaker’s Dais	
puhemiehen käytävä		talmanskorridoren
puhemiehen käytävä	Speaker's Corridor	
puhemiehen käytävä	Speaker's Gallery	
puhemiehen nuotit		talmannens noter
puhemiehen nuotit		talmansmanus
puhemiehen nuotit	Speaker’s script	
puhemiehen nuotit	Speaker’s ‘notes’	
puhemiehistö		presidiet
puhemiehistö		talmanspresidiet
puhemiehistö		talmännen
puhemiehistö	Speaker’s Office	
puhemiehistö	presidency	
puhemiehistö	speakership	
puhemiehistön käytävä		talmanskorridoren
puhemiehistön käytävä	Speaker's Corridor	
puhemiehistön käytävä	Speaker's Gallery	
puhemies		riksdagens talman
puhemies		talman
puhemies	Speaker	
puhemies	Speaker of Parliament	
puhemieskokous		talmansmöte
puhemieskokous	Speakers’ Conference	
puhemieskonferenssi		talmansmöte
puhemieskonferenssi	Speakers’ Conference	
puhemiesneuvosto		talmanskonferensen
puhemiesneuvosto	Speaker's Council	
puhemiesneuvoston ehdotus		TKF
puhemiesneuvoston ehdotus		förslag från talmanskonferensen
puhemiesneuvoston ehdotus		talmanskonferensens förslag
puhemiesneuvoston ehdotus	proposal of the Speaker’s Council	
puhemiesneuvoston kokoushuone		talmanskonferensens mötesrum
puhemiesneuvoston kokoushuone		talmanskonferensens sammanträdesrum
puhemiesneuvoston kokoushuone	Speaker’s Council Meeting Room	
puhemiesneuvoston laatima luettelo lepäämään hyväksytyistä lakiehdotuksista		TKFT
puhemiesneuvoston laatima luettelo lepäämään hyväksytyistä lakiehdotuksista		talmanskonferensens förteckning över lagförslag som godkänts att vila
puhemiesneuvoston laatima luettelo lepäämään hyväksytyistä lakiehdotuksista		talmanskonferensens förteckning över lagförslag som vilar
puhemiesneuvoston laatima luettelo lepäämään hyväksytyistä lakiehdotuksista		talmanskonferensens förteckning över vilande lagförslag
puhemiesneuvoston laatima luettelo lepäämään hyväksytyistä lakiehdotuksista	list of bills left in abeyance compiled by the Speaker’s Council	
puheoikeus		obegränsad rätt att tala
puheoikeus		obegränsad rätt att yttra sig
puheoikeus		obegränsad yttranderätt
puheoikeus		yttranderätt
puheoikeus	unlimited right to speak	
puhujakoroke		talarstol
puhujakoroke	speaking rostrum	
puhujalista		talarlista
puhujalista	list of speakers	
puhujapönttö		talarstol
puhujapönttö	speaking rostrum	
puitelaki		ramlag
puitelaki	framework act	
puolue		parti
puolue	party	
puolueelle myönnettävä valtionavustus		partibidrag
puolueelle myönnettävä valtionavustus		partistöd
puolueelle myönnettävä valtionavustus		statsunderstöd
puolueelle myönnettävä valtionavustus		statsunderstöd till parti
puolueelle myönnettävä valtionavustus	party subsidy	
puoluerekisteri		partiregister
puoluerekisteri	party register	
puoluetuki		partibidrag
puoluetuki		partistöd
puoluetuki		statsunderstöd
puoluetuki		statsunderstöd till parti
puoluetuki	party subsidy	
puolustusvaliokunta		FsU
puolustusvaliokunta		försvarsutskottet
puolustusvaliokunta	Defence Committee	
pykälä		paragraf
pykälä	section	
pysyvä valiokunta		permanent utskott
pysyvä valiokunta	standing committee	
pyytää lausunto toiselta valiokunnalta		begära utlåtande av ett annat utskott
pyytää lausunto toiselta valiokunnalta		begära yttrande av ett annat utskott
pyytää lausunto toiselta valiokunnalta	request a statement from another committee	
pyytää puheenvuoro		anmäla sig för inlägg
pyytää puheenvuoro		anmäla sig till talarlistan
pyytää puheenvuoro		begära ordet
pyytää puheenvuoro	request a speaking turn	
pyytää puheenvuoro	request the floor	
pyöreä pöytä		runda bordet
pyöreä pöytä		runda bordet i plenisalen
pyöreä pöytä	Plenary Hall Round Table	
päiväjärjestys		DO
päiväjärjestys		dagordning
päiväjärjestys		dagordning för plenum
päiväjärjestys	agenda	
päiväjärjestys	agenda for a plenary session	
päiväjärjestys	plenary session agenda	
pääaula		entréhallen
pääaula		vestibulen
pääaula	Parliament Building Foyer	
pääluokka		huvudtitel
pääluokka	main title of expenditure	
pääministerin ilmoitus		SU
pääministerin ilmoitus		statsministerns upplysning
pääministerin ilmoitus		upplysning från statsministern
pääministerin ilmoitus	Prime Minister's announcement	
pääministerin vaali		statsministerval
pääministerin vaali		val av statsminister
pääministerin vaali	election of the Prime Minister	
pääministerin valinta		statsministerval
pääministerin valinta		val av statsminister
pääministerin valinta	selection of the Prime Minister	
pääovi		huvudentrén
pääovi		huvudingången
pääovi	main entrance	
pääsihteeri		generalsekreteraren
pääsihteeri		riksdagens generalsekreterare
pääsihteeri	Secretary-General	
pääsihteeri	Secretary-General of Parliament	
pääsihteerikokous		generalsekreterarmöte
pääsihteerikokous	meeting of the Secretaries-General of parliaments	
päätalo		E-huset
päätalo		Riksdagshuset
päätalo		hus E
päätalo		huvudbyggnaden
päätalo		riksdagens huvudbyggnad
päätalo	Building E	
päätalo	Eduskuntatalo	
päätalo	Parliament Building	
päätalon aula		entréhallen
päätalon aula		vestibulen
päätalon aula	Parliament Building Foyer	
päättää valtiopäivät		avsluta riksmöte
